abacus,,,,,,,, trust,,
abandon,,,, fear,, sadness,,, negative,
outsider,,,, fear,,,,,,
outstanding,,,,, joy,,,, negative, positive
outward,,,,,,,,,, positive
ovation,,,,,, sadness,,, negative,
overbearing, anger,,,,,,,, negative,
overburden,,,,,,,,, negative,
overcast,,,,,,,,, negative,
overdo,,,,,,,,, negative,
overdose,,,,,,,,, negative,
overdue,, anticip,,,, sadness, surprise,, negative,
overestimate,,,,,,, surprise,,,
overestimated,,,,,,,,, negative,
overflow,,,,,,,,, negative,
overgrown,,,,,,,,, negative,
overjoyed,,,,, joy,,,,, positive
overload,,,,,, sadness,,, negative,
overpaid,,,,,,,,, negative,
overpower,,,,,,,,, negative,
overpowering, anger,,, fear,,,,, negative,
overpriced, anger,, disgust,,, sadness,,, negative,
oversight,,,,,,,,, negative,
overt,,,, fear,,,,,,
overthrow,, anticip,, fear,,,,, negative,
overture,, anticip,,,,,,,,
overturn,,,,,,,,, negative,
overwhelm,,,,,,,,, negative,
overwhelmed,,,,,, sadness,,, negative,
overwhelming,,,,,,,,,, positive
owing, anger, anticip, disgust, fear,, sadness,, trust, negative,
ownership,,,,,,,,,, positive
oxidation,,,,,,,,, negative,
pacific,,,,,,,,,, positive
pact,,,,,,,, trust,,
pad,,,,,,,,,, positive
padding,,,,,,,,,, positive
paddle,, anticip,,,,,,,, positive
pain,,,, fear,, sadness,,, negative,
pained,,,, fear,, sadness,,, negative,
painful, anger,, disgust, fear,, sadness,,, negative,
painfully,,,,,, sadness,,, negative,
pains,,,,,,,,, negative,
palatable,,,,,,,,,, positive
palliative,,,,,,,,,, positive
palpable,,,,,,, surprise,,,
palsy,,, disgust, fear,, sadness,,, negative,
panacea,,,,,,,,,, positive
panache,,,,,,,,,, positive
pandemic,,,, fear,, sadness,,, negative,
pang,,,,,,, surprise,, negative,
panic,,,, fear,,,,, negative,
panier,,,,,,,,,, positive
paprika,,,,,,,,,, positive
parachute,,,, fear,,,,,,
parade,, anticip,, fear, joy,, surprise,, negative, positive
paragon,, anticip,,, joy,,, trust,, positive
paralysis, anger, anticip,, fear,, sadness,,, negative,
paralyzed, anger,,, fear,, sadness, surprise,, negative,
paramount,,,,,,,,,, positive
paranoia,,,, fear,,,,, negative,
paraphrase,,,,,,,,, negative, positive
parasite,,, disgust, fear,,,,, negative,
pardon,,,,,,,,,, positive
pare, anger, anticip,, fear,, sadness,,, negative,
parentage,,,,,,,,,, positive
parietal,,,,,,,, trust,, positive
parish,,,,,,,, trust,,
parliament,,,,,,,, trust,,
parole,, anticip,,,,,,,,
parrot,,, disgust,,,,,, negative,
parsimonious,,,,,,,,, negative,
partake,,,,,,,, trust,, positive
participation,,,,,,,,,, positive
parting,,,,,, sadness,,,,
partisan,,,,,,,,, negative,
partner,,,,,,,,,, positive
partnership,,,,,,,, trust,, positive
passe,,,,,,,,, negative,
passenger,, anticip,,,,,,,,
passion,, anticip,,, joy,,, trust,, positive
passionate,, anticip,,, joy,,, trust,, positive
passive,,,,,,,,, negative,
passivity,,,,,,,,, negative,
pastime,,,,,,,,,, positive
pastor,,,,, joy,,, trust,, positive
pastry,,,,, joy,,,,, positive
pasture,,,,,,,,,, positive
patch,,,,,,,,, negative,
patent,,,,,,,,,, positive
pathetic,,, disgust,,, sadness,,, negative,
patience,, anticip,,,,,, trust,, positive
patient,, anticip,,,,,,,, positive
patriarchal,,,,,,,, trust,, positive
patrol,,,,,,,, trust,,
patron,,,,,,,, trust,, positive
patronage,,,,,,,, trust,, positive
patronizing,,,,,,,,, negative,
patter, anger,,,,,,,, negative,
paucity, anger,, disgust,,, sadness,,, negative,
pauper,,,,,, sadness,,, negative,
pavement,,,,,,,, trust,,
pawn,,,,,,,, trust, negative,
pay,, anticip,,, joy,,, trust,, positive
payback, anger,,,,,,,, negative,
payment,,,,,,,,, negative,
peace,, anticip,,, joy,,, trust,, positive
peaceable,,,,,,,,,, positive
peaceful,, anticip,,, joy,, surprise, trust,, positive
peacock,,,,,,,,,, positive
peck,,,,,,,,,, positive
peculiarities,,,,,,,,, negative,
peculiarity,,,,,,,,,, positive
pedestrian,,,,,,,,, negative,
pedigree,,,,,,,, trust,, positive
peerless,,,,,,,,,, positive
penal,,,, fear,, sadness,,, negative,
penalty, anger,,, fear,, sadness,,, negative,
penance,,,, fear,, sadness,,,,
penchant,,,,,,,,,, positive
penetration, anger,,, fear,,,,, negative,
penitentiary, anger,,,,,,,, negative,
pensive,,,,,, sadness,,,,
perceive,,,,,,,, trust,, positive
perceptible,,,,,,,,,, positive
perchance,,,,,,, surprise,,,
perdition, anger,, disgust, fear,, sadness,,, negative,
perennial,,,,,,,, trust,, positive
perfect,, anticip,,, joy,,, trust,, positive
perfection,, anticip,,, joy,, surprise, trust,, positive
performer,,,,,,,,,, positive
peri,,,,,,, surprise,,,
peril,, anticip,, fear,, sadness,,, negative,
perilous,, anticip,, fear,, sadness,,, negative,
periodicity,,,,,,,, trust,,
perish,,,, fear,, sadness,,, negative,
perishable,,,,,,,,, negative,
perished,,,,,, sadness,,, negative,
perishing,,,, fear,, sadness,,, negative,
perjury,,,, fear,,, surprise,, negative,
perk,,,,,,,,,, positive
permission,,,,,,,,,, positive
pernicious, anger,,, fear,, sadness,,, negative,
perpetrator, anger,, disgust, fear,, sadness,,, negative,
perpetuate,, anticip,,,,,,,,
perpetuation,,,,,,,,, negative,
perpetuity,, anticip,,,,,, trust,, positive
perplexed,,,,,,,,, negative,
perplexity,,,,,, sadness,,, negative,
persecute, anger,,, fear,,,,, negative,
persecution, anger,, disgust, fear,, sadness,,, negative,
persistence,,,,,,,,,, positive
persistent,,,,,,,,,, positive
personable,,,,,,,,,, positive
personal,,,,,,,, trust,,
perspiration,,, disgust,,,,,,,
persuade,,,,,,,, trust,,
pertinent,,,,,,,, trust,, positive
perturbation,,,, fear,,,,, negative,
pertussis,,,,,,,,, negative,
perverse, anger,, disgust, fear,,,,, negative,
perversion, anger,, disgust,,, sadness,,, negative,
pervert, anger,, disgust,,,,,, negative,
perverted,,, disgust,,,,,, negative,
pessimism, anger,,, fear,, sadness,,, negative,
pessimist,,,, fear,, sadness,,, negative,
pest, anger,, disgust, fear,,,,, negative,
pestilence,,, disgust, fear,,,,, negative,
pet,,,,,,,,, negative,
petroleum,,, disgust,,,,,, negative, positive
petty,,,,,,,,, negative,
phalanx,,,, fear,,,, trust,,
phantom,,,, fear,,,,, negative,
pharmaceutical,,,,,,,,,, positive
philanthropic,,,,,,,, trust,,
philanthropist,,,,,,,, trust,, positive
philanthropy,,,,,,,,,, positive
philosopher,,,,,,,, trust,, positive
phlegm,,, disgust,,,,,, negative,
phoenix,,,,,,,,,, positive
phonetic,,,,,,,,,, positive
phony, anger,, disgust,,,,,, negative,
physician,,,,,,,, trust,, positive
physicist,,,,,,,, trust,,
physics,,,,,,,,,, positive
physiology,,,,,,,,,, positive
physique,,,,,,,,,, positive
pick,,,,,,,,,, positive
picket, anger, anticip,, fear,,,,, negative,
picketing, anger,,,,,,,, negative,
pickle,,,,,,,,, negative,
picnic,, anticip,,, joy,, surprise, trust,, positive
picturesque,,,,, joy,,,,, positive
piety,,,,,,,,,, positive
pig,,, disgust,,,,,, negative,
pigeon,,,,,,,,, negative,
piles,,, disgust,,,,,, negative,
pill,,,,,,,, trust,, positive
pillage, anger,, disgust, fear,,,,, negative,
pillow,,,,,,,,,, positive
pilot,,,,,,,, trust,, positive
pimp,,,,,,,,, negative,
pimple,,, disgust,,,,,, negative,
pine,,,,,, sadness,,, negative,
pinion,,,, fear,,,,, negative,
pinnacle,,,,,,,,,, positive
pioneer,,,,,,,,,, positive
pious,,, disgust,,, sadness,, trust,, positive
pique, anger,,,,,,,, negative,
piracy,,,,,,,,, negative,
pirate, anger,,,,,,,, negative,
pistol,,,,,,,,, negative,
pitfall, anger,, disgust, fear,, sadness, surprise,, negative,
pith,,,,,,,, trust,, positive
pity,,,,,, sadness,,,,
pivot,,,,,,,, trust,, positive
placard,,,,,,, surprise,,,
placid,,,,,,,,,, positive
plagiarism,,, disgust,,,,,, negative,
plague,,, disgust, fear,, sadness,,, negative,
plaintiff,,,,,,,,, negative,
plaintive,,,,,, sadness,,,,
plan,, anticip,,,,,,,,
planning,, anticip,,,,,, trust,, positive
plated,,,,,,,,, negative,
player,,,,,,,,, negative,
playful, anger,,,, joy,, surprise, trust,, positive
playground,, anticip,,, joy,, surprise, trust,, positive
playhouse,,,,, joy,,,,, positive
plea,, anticip,, fear,, sadness,,, negative,
pleasant,, anticip,,, joy,, surprise, trust,, positive
pleased,,,,, joy,,,,, positive
pleasurable,,,,, joy,,,,, positive
pledge,,,,, joy,,, trust,, positive
plenary,,,,,,,,,, positive
plentiful,,,,,,,,,, positive
plexus,,,,,,,,,, positive
plight,, anticip, disgust, fear,, sadness,,, negative,
plodding,,,,,,,,, negative,
plum,,,,,,,,,, positive
plumb,,,,,,,,,, positive
plummet,,,, fear,,,,, negative,
plump,, anticip,,,,,,,,
plunder, anger,, disgust, fear,, sadness, surprise,, negative,
plunge,,,, fear,,,,, negative,
plush,,,,,,,,,, positive
ply,,,,,,,,,, positive
pneumonia,,,, fear,,,,, negative,
poaching, anger,, disgust, fear,, sadness,,, negative,
pointedly,,,,,,,,,, positive
pointless,,,,,, sadness,,, negative,
poison, anger,, disgust, fear,, sadness,,, negative,
poisoned, anger,, disgust, fear,, sadness,,, negative,
poisoning,,, disgust,,,,,, negative,
poisonous, anger,, disgust, fear,, sadness,,, negative,
poke,, anticip,,,,,,, negative,
polarity,,,,,,, surprise,,,
polemic, anger,, disgust,,,,,, negative,
police,,,, fear,,,, trust,, positive
policeman,,,, fear,,,, trust,, positive
policy,,,,,,,, trust,,
polio,,,, fear,, sadness,,, negative,
polish,,,,,,,,,, positive
polished,,,,,,,,,, positive
polite,,,,,,,,,, positive
politeness,,,,,,,,,, positive
politic,,, disgust,,,,,,, positive
politics, anger,,,,,,,,,
poll,,,,,,,, trust,,
pollute,,, disgust,,,,,, negative,
pollution,,, disgust,,,,,, negative,
polygamy,,, disgust,,,,,, negative,
pomp,,,,,,,,, negative,
pompous,,, disgust,,,,,, negative,
ponderous,,,,,,,,, negative,
pontiff,,,,,,,, trust,,
pool,,,,,,,,,, positive
poorly,,,,,,,,, negative,
pop,,,,,,, surprise,, negative,
pope,,,,,,,,,, positive
popularity,,,,,,,,,, positive
popularized,,,,,,,,,, positive
population,,,,,,,,,, positive
porcupine,,,,,,,,, negative,
porn,,, disgust,,,,,, negative,
porno,,,,,,,,, negative,
pornographic,,,,,,,,, negative,
pornography,,, disgust,,,,,, negative,
portable,,,,,,,,,, positive
pose,,,,,,,,, negative,
posse,,,, fear,,,,,,
possess,, anticip,,, joy,,, trust,, positive
possessed, anger,, disgust, fear,,,,, negative,
possession, anger,, disgust, fear,,,,, negative,
possibility,, anticip,,,,,,,,
posthumous,,,,,, sadness,,, negative,
postponement,,,,,,, surprise,, negative,
potable,,,,,,,,,, positive
potency,,,,,,,,,, positive
pound, anger,,,,,,,, negative,
poverty, anger,, disgust, fear,, sadness,,, negative,
pow, anger,,,,,,,,,
powerful, anger, anticip, disgust, fear, joy,,, trust,, positive
powerfully,,,, fear,,,,,, positive
powerless, anger,, disgust, fear,, sadness,,, negative,
practice,,,,,,,,,, positive
practiced,,,,, joy,, surprise, trust,, positive
practise,, anticip,,,,,,,, positive
praise,,,,, joy,,, trust,, positive
praised,,,,, joy,,,,, positive
praiseworthy,, anticip,,, joy,, surprise, trust,, positive
prank,,,,,,, surprise,, negative,
pray,, anticip,, fear, joy,, surprise, trust,, positive
precarious,, anticip,, fear,, sadness,,, negative,
precaution,,,,,,,,,, positive
precede,,,,,,,,,, positive
precedence,,,,,,,, trust,, positive
precinct,,,,,,,,, negative,
precious,, anticip,,, joy,, surprise,,, positive
precipice,,,, fear,,,,,,
precise,,,,,,,,,, positive
precision,,,,,,,,,, positive
preclude, anger,,,,,,,,,
precursor,, anticip,,,,,,,,
predatory,,,,,,,,, negative,
predicament,,,, fear,,,,, negative,
predict,, anticip,,,,,,,,
prediction,, anticip,,,,,,,,
predilection,, anticip,,,,,,,, positive
predispose,, anticip,,,,,,,,
predominant,,,,,,,, trust,, positive
preeminent,,,,,,,,,, positive
prefer,,,,,,,, trust,, positive
pregnancy,,, disgust,,,,,, negative,
prejudice, anger,,,,,,,, negative,
prejudiced,,, disgust, fear,,,,, negative,
prejudicial, anger,,,,,,,, negative,
preliminary,, anticip,,,,,,,,
premature,,,,,,, surprise,,,
premeditated,,,, fear,,,,, negative,
premier,,,,,,,,,, positive
premises,,,,,,,,,, positive
preparation,, anticip,,,,,,,,
preparatory,, anticip,,,,,,,,
prepare,, anticip,,,,,,,, positive
prepared,, anticip,,,,,, trust,, positive
preparedness,, anticip,,,,,,,,
preponderance,,,,,,,, trust,,
prerequisite,, anticip,,,,,,,,
prescient,, anticip,,,,,,,, positive
presence,,,,,,,,,, positive
present,, anticip,,, joy,, surprise, trust,, positive
presentable,,,,,,,,,, positive
presentment,,,,,,,,, negative, positive
preservative,, anticip,,, joy,, surprise, trust,, positive
preserve,,,,,,,,,, positive
president,,,,,,,, trust,, positive
pressure,,,,,,,,, negative,
prestige,,,,, joy,,, trust,, positive
presto,,,,, joy,, surprise,,, positive
presumption,,,,,,,, trust,,
presumptuous, anger,, disgust,,,,,, negative,
pretend,,,,,,,,, negative,
pretended,,,,,,,,, negative,
pretending, anger,,,,,,,, negative,
pretense,,,,,,,,, negative,
pretensions,,,,,,,,, negative,
pretty,, anticip,,, joy,,, trust,, positive
prevail,, anticip,,, joy,,,,, positive
prevalent,,,,,,,, trust,,
prevent,,,, fear,,,,,,
prevention,, anticip,,,,,,,, positive
preventive,,,,,,,,, negative,
prey,,,, fear,,,,, negative,
priceless,,,,,,,,,, positive
prick, anger,, disgust, fear,,, surprise,, negative,
prickly,,,,,,,,, negative,
pride,,,,, joy,,,,, positive
priest,,,,,,,, trust,, positive
priesthood,, anticip,,, joy, sadness,, trust,, positive
priestly,,,,,,,,,, positive
primacy,,,,,,,,,, positive
primary,,,,,,,,,, positive
prime,,,,,,,,,, positive
primer,,,,,,,, trust,, positive
prince,,,,,,,,,, positive
princely,, anticip,,, joy,, surprise, trust,, positive
princess,,,,,,,,,, positive
principal,,,,,,,, trust,, positive
prison, anger,,, fear,, sadness,,, negative,
prisoner, anger,, disgust, fear,, sadness,,, negative,
pristine,,,,,,,,,, positive
privileged,,,,, joy,,, trust,, positive
privy,,,,,,,, trust, negative,
probability,, anticip,,,,,,,,
probation,, anticip,, fear,, sadness,,,,
probity,,,,,,,, trust,, positive
problem,,,, fear,, sadness,,, negative,
procedure,,,, fear,,,,,, positive
proceeding,, anticip,,,,,,,,
procession,,,,, joy, sadness, surprise,,, positive
procrastinate,,,,,,,,, negative,
procrastination,,,,,,,,, negative,
proctor,,,,,,,, trust,, positive
procure,,,,,,,,,, positive
prodigal,,,,,,,,, negative, positive
prodigious,,,,,,,,,, positive
prodigy,,,,,,,,,, positive
producer,,,,,,,,,, positive
producing,,,,,,,,,, positive
production,, anticip,,,,,,,, positive
productive,,,,,,,,,, positive
productivity,,,,,,,,,, positive
profane, anger,,,,,,,, negative,
profanity, anger,,,,,,,, negative,
profession,,,,,,,,,, positive
professional,,,,,,,, trust,, positive
professor,,,,,,,, trust,, positive
professorship,,,,,,,, trust,,
proficiency,, anticip,,, joy,, surprise, trust,, positive
proficient,,,,,,,, trust,, positive
profuse,,,,,,,,,, positive
profusion,,,,,,,,, negative,
prognosis,, anticip,, fear,,,,,,
prognostic,, anticip,,,,,,,,
progress,, anticip,,, joy,,,,, positive
progression,, anticip,,, joy, sadness,, trust,, positive
progressive,,,,,,,,,, positive
prohibited, anger,, disgust, fear,,,,, negative,
prohibition,,,,,,,,, negative,
projectile,,,, fear,,,,,,
projectiles,,,, fear,,,,,,
prolific,,,,,,,,,, positive
prologue,, anticip,,,,,,,,
prolong,,, disgust,,,,,, negative,
prominence,,,,,,,,,, positive
prominently,,,,,,,,,, positive
promiscuous,,,,,,,,, negative,
promise,,,,, joy,,, trust,, positive
promising,,,,,,,,,, positive
promotion,,,,,,,,,, positive
proof,,,,,,,, trust,,
prop,,,,,,,,,, positive
propaganda,,,,,,,,, negative,
proper,,,,,,,,,, positive
prophecy,, anticip,,,,,,,,
prophet,, anticip,,,,,, trust,, positive
prophetic,, anticip,,,,,,,,
prophylactic,, anticip,,,,,, trust,, positive
proposition,,,,,,,,,, positive
prosecute, anger,,, fear,, sadness,,, negative,
prosecution,,, disgust,,,,,, negative,
prospect,,,,,,,,,, positive
prospectively,, anticip,,,,,,,,
prosper,, anticip,,, joy,,,,, positive
prosperity,,,,,,,,,, positive
prosperous,,,,, joy,,,,, positive
prostitute,,, disgust,,,,,, negative,
prostitution,,, disgust,,, sadness,,, negative,
protect,,,,,,,,,, positive
protected,,,,,,,, trust,,
protecting,,,,,,,, trust,, positive
protective,,,,,,,,,, positive
protector,,,,,,,, trust,, positive
protestant,,,, fear,,,,,,
proud,, anticip,,, joy,,, trust,, positive
prove,,,,,,,,,, positive
proven,,,,,,,, trust,,
proverbial,,,,,,,,,, positive
provide,,,,,,,, trust,, positive
providing,, anticip,,, joy,,, trust,, positive
proviso,,,,,,,, trust,,
provocation, anger,,,,,,,, negative,
provoking, anger,, disgust,,,,,, negative,
prowl,,,, fear,,, surprise,,,
proxy,,,,,,,, trust,,
prudence,,,,,,,,,, positive
prudent,,,,,,,, trust,, positive
pry, anger, anticip,,,,,, trust, negative,
prying,,,,,,,,, negative,
psalm,,,,,,,,,, positive
psychosis, anger,,, fear,, sadness,,, negative,
public,, anticip,,,,,,,, positive
publicist,,,,,,,,, negative,
puffy,,,,,,,,, negative,
puke,,, disgust,,,,,,,
pull,,,,,,,,,, positive
pulpit,,,,,,,,,, positive
puma,,,, fear,,, surprise,,,
punch, anger,,, fear,, sadness, surprise,, negative,
punctual,, anticip,,,,,, trust,, positive
punctuality,,,,,,,,,, positive
pungent,,, disgust,,,,,, negative,
punish,,,, fear,,,,, negative,
punished, anger, anticip, disgust, fear,, sadness,,, negative,
punishing, anger,,, fear,, sadness,,, negative,
punishment, anger,, disgust, fear,,,,, negative,
punitive, anger,,, fear,, sadness,,, negative,
punt,, anticip,,,,,,,,
puppy,, anticip,,,,,, trust,, positive
purely,,,,,,,, trust,, positive
purgatory,,, disgust, fear,,,,, negative,
purge,,,, fear,,,,, negative,
purification,,,,,,,, trust,, positive
purify,,,,, joy,,, trust,, positive
purist,,,,,,,,,, positive
purity,,,,,,, surprise,,, positive
purr,,,,, joy,,, trust,, positive
pus,,, disgust,,,,,, negative,
putative,,,,,,,, trust,,
quack,,, disgust,,,,,, negative,
quagmire,,, disgust,,,,,, negative,
quail,,,, fear,,,,, negative,
quaint,,,,, joy,,, trust,, positive
quake,,,, fear,,,,,,
qualified,,,,,,,, trust,, positive
qualifying,,,,,,,,,, positive
quandary, anger,,, fear,,,,, negative,
quarantine,,,, fear,,,,,,
quarrel, anger,,,,,,,, negative,
quash,,,, fear,,,,, negative,
quell,,,,,,,,, negative,
quest,, anticip,,,,,,,, positive
question,,,,,,,,,, positive
questionable,,, disgust,,,,,, negative,
quicken,, anticip,,,,,,,,
quickness,,,,,,, surprise,,, positive
quicksilver,,,,,,, surprise,, negative,
quiescent,,,,,,,,,, positive
quiet,,,,,, sadness,,,, positive
quinine,,,,,,,,,, positive
quit,,,,,,,,, negative,
quiver,,,, fear,,,,, negative,
quivering,,,, fear,,,,, negative,
quiz,,,,,,,,, negative,
quote,, anticip,,,,, surprise,, negative, positive
rabble, anger,,, fear,,,,, negative,
rabid, anger, anticip, disgust, fear,, sadness,,, negative,
rabies,,,,,,,,, negative,
rack,,,,,, sadness,,, negative,
racket,,,,,,,,, negative,
radar,,,,,,,, trust,,
radiance,, anticip,,, joy,,, trust,, positive
radiant,,,,, joy,,,,, positive
radiate,,,,,,,,,, positive
radiation,,,, fear,,,,, negative,
radio,,,,,,,,,, positive
radioactive,,,, fear,,,,, negative,
radon,,,, fear,,,,, negative,
raffle,, anticip,,,,, surprise,,,
rage, anger,,,,,,,, negative,
raging, anger,, disgust, fear,,,,, negative,
rags,,, disgust,,,,,, negative,
raid, anger,,, fear,,, surprise,, negative,
rail, anger, anticip,,,,,,, negative,
rainy,,,,,, sadness,,,,
ram, anger, anticip,,,,,,, negative,
rambling,,,,,,,,, negative,
rampage, anger,,, fear,,,,, negative,
rancid,,, disgust,,,,,, negative,
randomly,,,,,,, surprise,,,
ranger,,,,,,,, trust,,
ransom, anger,,, fear,,,,, negative,
rape, anger,, disgust, fear,, sadness,,, negative,
rapid,,,,,,, surprise,,,
rapping, anger,,,,,,,,,
rapt,,,,, joy,, surprise, trust,, positive
raptors,,,, fear,,,,, negative,
rapture,, anticip,,, joy,,,,, positive
rarity,,,,,,, surprise,,,
rascal, anger,, disgust, fear,,,,, negative,
